epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13745,1.58864,2.90958,1.89336,0.03096,0.06667,0.00692,0.00097,3.59296,5.80001,5.52631,0.00038,0.00038,0.00038
2,24.1439,1.94729,2.74077,2.1413,0,0,0,0,nan,nan,nan,0.000770348,0.000770348,0.000770348
3,34.3182,2.10589,2.85756,2.33918,0,0,0,0,nan,nan,nan,0.0011508,0.0011508,0.0011508
4,43.4106,2.31797,2.76354,2.49701,0,0,0,0,nan,nan,nan,0.00152134,0.00152134,0.00152134
5,52.7234,2.37487,2.82875,2.53333,0,0,0,0,nan,nan,nan,0.00188199,0.00188199,0.00188199
6,61.9166,2.10767,2.67553,2.3821,0,0,0,0,nan,nan,nan,0.00187625,0.00187625,0.00187625
7,71.1266,2.1418,2.59181,2.31708,0.00055,0.13333,0.00338,0.00068,nan,nan,nan,0.0018515,0.0018515,0.0018515
8,80.0927,1.96252,2.47565,2.12417,0.00051,0.06667,0.0002,4e-05,4.27935,inf,30.1537,0.00182675,0.00182675,0.00182675
9,89.0652,1.98936,2.3275,2.21572,0.00144,0.2,0.00074,0.00017,3.86053,354.095,10.9335,0.001802,0.001802,0.001802
10,98.1083,1.99966,2.3408,2.1605,0.01663,0.33333,0.01923,0.0032,3.09067,113.463,6.74285,0.00177725,0.00177725,0.00177725
11,112.173,1.95306,2.19051,2.17932,0.00788,0.2,0.00274,0.00101,2.80516,14.2753,3.46195,0.0017525,0.0017525,0.0017525
12,120.86,1.82377,2.10297,2.01502,0.0972,0.06667,0.01002,0.0053,3.22607,10.4736,4.2364,0.00172775,0.00172775,0.00172775
13,136.416,1.88253,2.05541,2.09959,0.13132,0.13333,0.09305,0.02996,2.25266,12.3156,3.02139,0.001703,0.001703,0.001703
14,145.794,1.81024,1.96087,2.07985,0.10111,0.46667,0.12812,0.03565,2.44458,6.85214,3.1957,0.00167825,0.00167825,0.00167825
15,161.324,1.77825,1.91976,2.05186,0.15899,0.26667,0.13457,0.04382,2.37616,7.27655,3.25678,0.0016535,0.0016535,0.0016535
16,175.685,1.74762,1.87598,2.01388,0.36326,0.4,0.27915,0.08864,2.16006,4.6059,2.98723,0.00162875,0.00162875,0.00162875
17,189.511,1.76403,1.81269,2.00397,0.12853,0.13333,0.05985,0.01471,2.6028,4.50333,3.3544,0.001604,0.001604,0.001604
18,199.687,1.60982,1.78985,1.94977,0.40073,0.26667,0.1644,0.03716,2.44082,4.21504,2.99683,0.00157925,0.00157925,0.00157925
19,208.86,1.71284,1.83117,1.90753,0.0971,0.13333,0.04733,0.01581,2.5077,10.8435,3.12774,0.0015545,0.0015545,0.0015545
20,218.138,1.66402,1.67584,1.85683,0.22776,0.46667,0.1745,0.07001,1.99259,3.60485,2.59519,0.00152975,0.00152975,0.00152975
21,231.904,1.64535,1.7503,1.88024,0.28751,0.46667,0.1922,0.07064,1.96914,6.77886,2.70049,0.001505,0.001505,0.001505
22,244.219,1.49763,1.69064,1.85358,0.77411,0.26667,0.33715,0.11272,1.86315,4.66612,2.42516,0.00148025,0.00148025,0.00148025
23,257.541,1.60639,1.69269,1.86655,0.17956,0.53333,0.26946,0.11911,1.78874,3.02842,2.45761,0.0014555,0.0014555,0.0014555
24,277.241,1.49638,1.51697,1.82115,0.52669,0.53333,0.44224,0.20862,1.50625,2.1629,2.04214,0.00143075,0.00143075,0.00143075
25,293.7,1.44017,1.5499,1.74153,0.42247,0.29413,0.3159,0.12754,1.90805,2.36406,2.61961,0.001406,0.001406,0.001406
26,307.966,1.56578,1.70391,1.90545,0.37992,0.40892,0.30737,0.12334,2.16273,2.55598,2.75196,0.00138125,0.00138125,0.00138125
27,322.456,1.45927,1.49371,1.77178,0.40833,0.46667,0.32919,0.13883,1.88974,2.17235,2.60398,0.0013565,0.0013565,0.0013565
28,336.717,1.42303,1.45647,1.73974,0.6497,0.53333,0.48956,0.24116,1.58219,2.2361,2.17151,0.00133175,0.00133175,0.00133175
29,351.211,1.38148,1.40629,1.69425,0.26905,0.53333,0.30796,0.1308,2.15708,2.26488,2.78502,0.001307,0.001307,0.001307
30,363.092,1.41533,1.40277,1.71473,0.56561,0.43548,0.50709,0.19853,1.98246,1.94836,2.65324,0.00128225,0.00128225,0.00128225
31,372.485,1.52989,1.48702,1.78332,0.57197,0.53333,0.40139,0.16984,1.81499,2.64453,2.319,0.0012575,0.0012575,0.0012575
32,381.618,1.41631,1.36466,1.75484,0.35583,0.46667,0.32349,0.0984,2.19856,2.71175,2.57916,0.00123275,0.00123275,0.00123275
33,394.435,1.32048,1.38419,1.6759,0.57208,0.46667,0.41972,0.14947,2.19578,2.07335,2.88158,0.001208,0.001208,0.001208
34,406.107,1.36979,1.44685,1.75355,0.35683,0.6,0.41844,0.16766,1.99832,1.95541,2.48518,0.00118325,0.00118325,0.00118325
35,420.86,1.25084,1.28619,1.66905,0.51091,0.46667,0.47758,0.16479,1.81638,2.11505,2.08599,0.0011585,0.0011585,0.0011585
36,430.953,1.45954,1.45877,1.74821,0.67647,0.33333,0.43189,0.21604,1.57563,2.05365,2.08175,0.00113375,0.00113375,0.00113375
37,440.391,1.27497,1.27602,1.61108,0.2879,0.4,0.23447,0.10371,2.16732,2.26368,2.82952,0.001109,0.001109,0.001109
38,449.407,1.30317,1.3968,1.63902,0.62546,0.4,0.4799,0.25944,1.35785,1.74064,1.86779,0.00108425,0.00108425,0.00108425
39,464.548,1.42732,1.30599,1.64967,0.82323,0.46667,0.64099,0.3307,1.58606,1.80738,2.07084,0.0010595,0.0010595,0.0010595
40,474.109,1.32076,1.27334,1.6253,0.71271,0.6,0.64729,0.30801,1.69929,1.63209,2.19334,0.00103475,0.00103475,0.00103475
41,488.428,1.19366,1.23126,1.54098,0.50447,0.46667,0.45824,0.2064,1.73458,2.13849,2.23827,0.00101,0.00101,0.00101
42,497.513,1.40147,1.35298,1.6566,0.53923,0.46823,0.49757,0.23758,1.76836,2.03028,2.26815,0.00098525,0.00098525,0.00098525
43,510.793,1.21874,1.18524,1.56706,0.50541,0.66667,0.57248,0.27758,1.51387,1.78947,2.05719,0.0009605,0.0009605,0.0009605
44,520.968,1.26131,1.18518,1.52401,0.42726,0.53333,0.4408,0.1969,1.97957,1.86873,2.66489,0.00093575,0.00093575,0.00093575
45,530.622,1.33387,1.18931,1.56731,0.46499,0.52205,0.36295,0.16037,2.0394,2.14964,2.61399,0.000911,0.000911,0.000911
46,539.925,1.32198,1.16672,1.67141,0.65894,0.46667,0.52626,0.23747,1.80303,1.71989,2.41629,0.00088625,0.00088625,0.00088625
47,553.641,1.23015,1.1516,1.48935,0.66472,0.53333,0.57404,0.31395,1.53456,1.56992,2.07125,0.0008615,0.0008615,0.0008615
48,563.522,1.20173,1.17819,1.55261,0.81674,0.59473,0.67074,0.24236,1.76999,1.63966,2.17533,0.00083675,0.00083675,0.00083675
49,572.579,1.2902,1.33655,1.64763,0.59934,0.4,0.4317,0.20191,1.90786,1.92498,2.446,0.000812,0.000812,0.000812
50,586.593,1.19041,1.11856,1.5383,0.54515,0.53333,0.54187,0.26142,1.83115,1.65829,2.38441,0.00078725,0.00078725,0.00078725
51,596.074,1.1411,1.05423,1.59187,0.61468,0.6,0.54312,0.26413,1.93108,1.53482,2.51433,0.0007625,0.0007625,0.0007625
52,605.19,1.24557,1.10275,1.49534,0.43692,0.6,0.441,0.18646,2.07127,1.72919,2.61088,0.00073775,0.00073775,0.00073775
53,614.484,1.1182,1.07547,1.45149,0.55323,0.66074,0.50525,0.22357,2.04305,1.6522,2.63531,0.000713,0.000713,0.000713
54,623.537,1.06324,0.97862,1.42629,0.64298,0.60035,0.60337,0.2663,1.96056,1.65465,2.41243,0.00068825,0.00068825,0.00068825
55,637.7,1.21741,1.34205,1.61408,0.67378,0.6,0.66516,0.3401,1.78319,1.53226,2.19476,0.0006635,0.0006635,0.0006635
56,653.442,1.13754,0.95448,1.45201,0.57977,0.73593,0.65407,0.32968,1.71361,1.62176,2.17089,0.00063875,0.00063875,0.00063875
57,668.341,1.05132,0.95818,1.40082,0.7105,0.53333,0.51273,0.26191,1.91228,1.64698,2.45442,0.000614,0.000614,0.000614
58,682.836,0.97529,0.94079,1.37111,0.52028,0.5793,0.48274,0.27492,1.72734,1.63238,2.18071,0.00058925,0.00058925,0.00058925
59,697.596,1.06357,0.96936,1.44778,0.6489,0.6,0.64477,0.36475,1.53194,1.56312,2.04002,0.0005645,0.0005645,0.0005645
60,707.006,1.1057,1.01843,1.48889,0.81035,0.53333,0.64699,0.34758,1.59648,1.43738,2.14439,0.00053975,0.00053975,0.00053975
61,716.584,1.04605,0.99496,1.40683,0.44977,0.66667,0.53428,0.22603,1.93524,1.71374,2.37939,0.000515,0.000515,0.000515
62,726.89,0.96332,0.96746,1.34566,0.45085,0.60217,0.53063,0.23488,1.95764,1.77201,2.41943,0.00049025,0.00049025,0.00049025
63,736.042,1.07322,0.97471,1.39807,0.50879,0.53333,0.4863,0.24991,1.91806,1.85305,2.41642,0.0004655,0.0004655,0.0004655
64,744.644,1.05937,0.98225,1.42014,0.67387,0.6,0.55661,0.23514,2.02185,1.90587,2.48242,0.00044075,0.00044075,0.00044075
65,753.915,0.96778,0.85283,1.30268,0.59487,0.6,0.56113,0.26749,2.15359,1.6756,2.71156,0.000416,0.000416,0.000416
66,762.753,1.02158,0.93545,1.40323,0.49867,0.66667,0.51091,0.20472,2.09654,1.58341,2.5989,0.00039125,0.00039125,0.00039125
67,771.615,0.95297,0.85754,1.34342,0.44516,0.6,0.38835,0.17121,2.24068,1.66012,2.86702,0.0003665,0.0003665,0.0003665
68,780.691,0.96581,0.84625,1.32417,0.35665,0.66667,0.35391,0.15981,2.26756,1.76798,3.01589,0.00034175,0.00034175,0.00034175
69,795.479,0.9133,0.80843,1.32202,0.45174,0.54998,0.46485,0.21471,2.02641,1.74445,2.50723,0.000317,0.000317,0.000317
70,809.887,0.87959,0.82353,1.33497,0.71978,0.51502,0.62454,0.26796,1.76865,1.73588,2.22364,0.00029225,0.00029225,0.00029225
71,825.032,0.8083,0.79912,1.2827,0.81079,0.6,0.70182,0.34672,1.5914,1.58968,2.09409,0.0002675,0.0002675,0.0002675
72,838.637,0.76645,0.68731,1.26403,0.57525,0.66667,0.65403,0.33588,1.71021,1.67965,2.20374,0.00024275,0.00024275,0.00024275
73,848.796,0.78507,0.67041,1.30783,0.51706,0.66667,0.63094,0.32477,1.88111,1.60331,2.51879,0.000218,0.000218,0.000218
74,863.143,0.85805,0.7846,1.37557,0.7568,0.46667,0.64671,0.35162,1.86935,1.41475,2.55383,0.00019325,0.00019325,0.00019325
75,877.461,0.73378,0.64995,1.22957,0.37433,0.86667,0.54995,0.29238,1.92081,1.4401,2.55371,0.0001685,0.0001685,0.0001685
76,891.496,0.73951,0.64603,1.24179,0.62447,0.46667,0.53214,0.29363,1.95718,1.4634,2.59998,0.00014375,0.00014375,0.00014375
77,902.33,0.78346,0.91364,1.30466,0.85555,0.39553,0.53521,0.28729,1.95194,1.55989,2.6103,0.000119,0.000119,0.000119
78,916.143,0.72238,0.60134,1.235,0.85646,0.39809,0.53302,0.29584,1.87963,1.60187,2.59095,9.425e-05,9.425e-05,9.425e-05
79,925.947,0.73856,0.86038,1.26539,0.463,0.66667,0.56459,0.29668,1.81831,1.41733,2.56941,6.95e-05,6.95e-05,6.95e-05
80,940.646,0.66708,0.57318,1.18559,0.49615,0.66667,0.57846,0.30605,1.73513,1.40432,2.43056,4.475e-05,4.475e-05,4.475e-05
